0
SUN, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0.99, 0.99, 0.01, 3.1764, 6.958e+08, 1.989e+30, 0.126536, 2.972e-06, 1, texture/sun.bmp
PASITHEE, 593307732146, -8049320157.56, 411431676391, -7572.79050719, 35.6990608008, 12059.3325593, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
HEGEMONE, 600360086382, -4034256038.63, 411278068324, -7498.86086471, 382.957103334, 11886.8830439, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
MNEME, 595311604045, -28453953572.9, 459424393169, -3948.55270591, -17.6836682725, 11109.7675795, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
AOEDE, 609040561640, -26578326687.2, 405662214869, -7131.29414195, -324.692108044, 11219.1956567, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
THELXINOE, 617636573582, -19122604276.5, 429763081062, -7375.21333373, -1113.42832186, 9541.72550554, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
ARCHE, 591924416742, -19088668692.9, 455672684146, -3536.73912671, −791.688152412, 12466.3961067, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
KALLICHORE, 611311524513, -10151394590, 421951624408, -7678.55637033, 115.716210466, 9473.07657265, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
HELIKE, 598873975740, -14590192416.3, 457293682346, -3480.61939023, 1020.97530013, 11523.0458341, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
CARPO, 599222653942, -5548043302.84, 448415069576, -8332.20550082, 1266.51377702, 9494.94787483, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
EUKELADE, 615645126481, -11472509708.2, 460594812507, -4569.99834552, -548.575048072, 9888.88969708, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
CYLLENE, 599266594834, -21952500190.6, 409748362648, -7340.48809431, 875.0803197, 10787.8666873, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
KORE, 586392022809, -19674800536.3, 453379678685, -4478.02178152, -1929.37734704, 12611.5450652, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
HERSE, 572014137945, -8486908371.37, 444747915841, -6006.12038091, -387.754442926, 13062.7609596, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
SATURN, 958726093915, -55244848271.5, 981869912105, -5450.40975335, -64.3385730384, 6803.45311761, 1, 1, 1, 0.01, 0.4, 0.2, 2.08768, 5.8232e+07, 5.68319e+26, 0.466527, 0.000170548, 0, texture/saturn.bmp
URANUS, 2.1587945e+12, -35647678682.9, -2.0555205e+12, 6616.12434062, -284.853191285, 4691.83175758, 1, 1, 1, 0.02, 0.01, 0.23, 3.98078, 2.5362e+07, 8.68103e+25, 1.70641, 0.000101273, 0, texture/uranus.bmp
NEPTUNE, 2.5148732e+12, 19015281804.6, -3.7395427e+12, 6444.27591231, -408.568347542, 3140.32004281, 1, 1, 1, 0.1, 0.1, 0.1, 1.06703, 2.4622e+07, 1.0241e+26, 0.494277, 0.00010908, 0, texture/neptune.bmp
PLUTO, -1.4775387e+12, 875245338289, -4.1831557e+12, 7240.33685912, -1483.84594892, -2584.32274644, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1195000, 1.307e+22, 0, 0.00001138, 0, texture/pluto.bmp
